iauName,WISE Name,GLong,GLat,Radius,VLSR(km/s),Dist.<br>(kpc),Err Dist.<br>(kpc),Dist. Method,Dist. Author,WISE 12um<br>(Jy),flux,fluxErr,flux_noPS,flux_err_noPS,distance_kpc,distance_err_kpc,radius_wcs,physical_radius_pc,ne,N_Ly,Spectral Type
G037.259-00.084,G037.259-00.083,37.259,-0.083,81.1,40.8,10.5978,0.315359,HIEA/Kin,Anderson et al. (2012),12.5038,0.2200575174346571,0.0012159793155623,0.2200575174346571,0.0012159793155623,2.43,0.17,1.175,0.8305577776161734,24.5,47.1,B0
G037.348+00.688,G037.344+00.684,37.344,0.684,60.0,45.6,10.374,0.269429,HIEA+HISA/Kin,Anderson & Bania (2009a),9.09538,0.281814658726182,0.0005424752807467,0.281814658726182,0.0005424752807467,2.5,0.31,1.034,0.7519453130681405,33.15,47.23,B0
G037.364-00.226,G037.362-00.234,37.363,-0.234,129.0,39.4,10.7197,0.248869,H2CO/Kin,Watson et al. (2003),35.0393,0.9081629972234416,0.0025312972006612,-999.0,-999.0,1.91,0.08,2.008,1.1156366809686569,25.07,47.5,O9.5
G037.499+00.531,G037.497+00.530,37.498,0.53,60.0,11.6,12.3946,0.200326,HISA (Mol)/Kin,Urquhart et al. (2012)/Roman-Duval et al. (2009),7.14787,0.0113113614172044,6.257114727944295e-05,0.0113113614172044,6.257114727944295e-05,11.89,0.35,0.328,1.1344396771143916,17.06,47.19,B0
G037.544-00.117,G037.544-00.115,37.544,-0.114,108.0,48.9,10.065,0.367979,H2CO/Kin,Watson et al. (2003),32.5371,0.7866203241367868,0.0073095318847841,0.7866203241367868,0.0073095318847841,9.27,0.58,0.711,1.9172336557341283,50.34,48.81,O6.5
G037.639-00.119,G037.641-00.112,37.642,-0.112,233.8,52.3,9.92575,0.285341,HIEA+HISA/Kin,Anderson & Bania (2009a),31.8969,1.3044676170439846,0.0083874393309926,1.3044676170439846,0.0083874393309926,9.23,0.5,4.171,11.19869973092866,4.57,49.03,O6
G037.668+00.171,G037.677+00.155,37.678,0.156,195.1,88.9,6.46671,0.0187147,TP/Kin,,47.1005,0.0949988499048765,0.0171706931317781,0.0949988499048765,0.0171706931317781,4.63,0.53,3.484,4.692290015271617,2.28,47.29,B0
G037.751+00.554,G037.754+00.560,37.754,0.56,66.2,18.3,11.9649,0.204143,HIEA/Kin,Anderson et al. (2012),3.88277,0.131857243701686,0.0006134269110743,0.131857243701686,0.0006134269110743,2.18,0.22,1.664,1.0552018035051995,11.85,46.78,B0
G037.752-00.110,G037.750-00.110,37.751,-0.11,60.0,49.7,10.0205,0.341676,H2CO/Kin,Watson et al. (2003),6.40433,0.5104866574961731,0.0059084416670798,0.5104866574961731,0.0059084416670798,9.22,0.58,0.84,2.252868882263108,31.71,48.62,O7
G037.485+00.508,G037.485+00.513,37.485,0.513,42.5,4.1,,,,,1.84726,0.0707147147594531,0.0017136523504552,0.0707147147594531,0.0017136523504552,12.81,0.58,1.596,5.947134026616246,3.82,48.05,O9
